mor_id,Country,ISO3,Death_Rate_Ranking,Total_Pollution_Deaths,Air_Pollution_Deaths,Water_Pollution_Deaths,Occupational_Pollution_Deaths,Lead_Deaths
M1,Afghanistan,AFG,30,44247,26054,8048,605,9539
M2,Albania,ALB,92,2269,1639,9,149,472
M3,Algeria,DZA,159,17940,13222,383,709,3626
M4,Andorra,AND,140,45,23,0,18,3
M5,Angola,AGO,49,30842,10728,18846,354,914
M6,Antigua and Barbuda,ATG,163,43,31,3,2,7
M7,Argentina,ARG,144,24827,17011,827,4345,2644
M8,Armenia,ARM,33,3434,2630,18,390,396
M9,Australia,AUS,150,12392,4884,88,5217,2203
M10,Austria,AUT,126,5503,3489,17,1406,590
M11,Azerbaijan,AZE,88,7954,6339,193,430,992
M12,Bahamas,BHS,171,150,112,7,11,20
M13,Bahrain,BHR,181,472,407,8,29,28
M14,Bangladesh,BGD,25,207922,122734,33583,13558,38048
M15,Barbados,BRB,97,218,172,11,10,25
M16,Belarus,BLR,47,9962,8265,21,507,1169
M17,Belgium,BEL,74,10139,4980,84,3352,1722
M18,Belize,BLZ,160,160,109,17,13,21
M19,Benin,BEN,23,14312,6182,7278,259,593
M20,Bhutan,BTN,85,666,397,117,67,85
M21,Bolivia,BOL,142,6312,4263,651,573,826
M22,Bosnia and Herzegovina,BIH,29,4379,3372,7,302,699
M23,Botswana,BWA,109,1647,822,609,90,126
M24,Brazil,BRA,146,109438,66245,7152,14462,21580
M25,Brunei Darussalam,BRN,187,84,52,2,18,11
M26,Bulgaria,BGR,21,9706,7684,19,567,1435
M27,Burkina Faso,BFA,11,32130,15212,14760,331,1827
M28,Burundi,BDI,28,13650,6520,6372,261,497
M29,Cambodia,KHM,62,15321,10744,2074,974,1528
M30,Cameroon,CMR,26,30344,13301,14459,723,1860
M31,Canada,CAN,156,16905,7835,196,7601,1272
M32,Cape Verde,CPV,131,331,230,59,11,31
M33,Central African Republic,CAF,2,11672,4711,6529,125,307
M34,Chad,TCD,1,42765,14329,26992,266,1178
M35,Chile,CHL,167,7306,5666,221,1093,327
M36,China,CHN,22,1865566,1242987,9585,255580,357414
M37,Colombia,COL,169,19176,11963,870,2290,4053
M38,Comoros,COM,63,777,392,314,24,46
M39,Congo,COG,61,5045,2440,2333,122,150
M40,Costa Rica,CRI,174,1787,1042,73,195,477
M41,Cote dIvoire,CIV,34,28445,13404,13237,409,1395
M42,Croatia,HRV,42,4463,3089,14,1011,349
M43,Cuba,CUB,72,10325,6236,442,1064,2583
M44,Cyprus,CYP,123,763,499,3,170,90
M45,Czech Republic,CZE,90,8446,6461,77,1225,682
M46,Democratic Republic of the Congo,COD,27,102477,53515,44472,1578,2911
M47,Denmark,DNK,95,4430,2366,35,1757,272
M48,Djibouti,DJI,89,765,404,305,19,36
M49,Dominica,DMA,108,53,36,3,4,10
M50,Dominican Republic,DOM,137,6447,3364,626,267,2191
