"Annual mean PM10 (Particulate matter with diameter of 10 ?m or less), by country",,,,,,,,,,,,,,,,,,,
Region,Country,Annual mean PM10,Year,Number and location,Temporal coverage,Reference,Urban population coverage,Reported or calculated mean,"Distribution of urban population into pollution levels (in %)
(based on city means)
ug/m3",,,,,,,,,,
,,ug/m3,, of stations,(%),,(%),,<20,20-30,30-50,50-70,70-90,90-110,110-130,130-170,170-210,Total,
EurHI,Estonia,11,2008,"1 urban background, 0 suburban background, 0 urban traffic, and 0 traffic suburban stations",89.9,"European Environment Agency. AirBase: public air quality database - Air pollution. Available from: http://www.eea.europa.eu/themes/air/airbase, accessed 2 May 2011.",43%,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Afr,Mauritius,12,2009,2 stations in St Louis,2 months/year,"Central Statistics Office. Environment Statistics 2009, Madagascar, 2009.",27%,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
WprHI,Australia,13,2009,"18 stations in 10 cities; urban background, cities above 100,000",90,"Environmental Protection Authority, ACT air quality report 2009, June 2010. Northern Territory Government. Northern Territory Air Monitoring Report 2009. NSW Government, New South Wales Annual Compliance Report 2009. Queensland Government, Department of E",89%,Calculated,100%,0%,0%,0%,0%,0%,0%,0%,0%,100%,
WprHI,New Zealand,15,2010,Several monitoring stations in main population centres ,NA,Ministry of Environment. New Zealand annual guideline for PM10. 2010.,64%,Calculated,95%,5%,0%,0%,0%,0%,0%,0%,0%,100%,
EurHI,Ireland,15,2008,"1 urban background, 5 suburban background, 3 urban traffic, and 1 traffic suburban stations",92,"European Environment Agency. AirBase: public air quality database - Air pollution. Available from: http://www.eea.europa.eu/themes/air/airbase, accessed 2 May 2011.",21%,Calculated,100%,0%,0%,0%,0%,0%,0%,0%,0%,100%,
EurHI,Luxembourg,18,2008,"0 urban background, 1 suburban background, 2 urban traffic, and 0 traffic suburban stations",99,"European Environment Agency. AirBase: public air quality database - Air pollution. Available from: http://www.eea.europa.eu/themes/air/airbase, accessed 2 May 2011.",21%,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Sear,Bhutan,18,2006,1 urban background station in 1 city,NA,"Strategy for Air Quality assessment and management in Bhutan, National Environment Commission Secretariat, Bhutan, 2010",40%,Reported,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
EurHI,Monaco,18,2008,1 urban traffic and 1 urban background stations,NA,"L'environnement en Principauté de Monaco, Recueil de données 2009. Direction de l'Environnment, 2009.",100%,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
AmrHI,United States of America,18,2008,728 sites in 375 locations throughout the country,NA,USEPA. Particulate matter. Local trends in particulate matter trends. http://www.epa.gov/airtrends/pm.html (accessed 12 May 2011),NA,Reported,59%,41%,1%,0,0%,0%,0%,0%,0%,100%,
EurHI,Finland,19,2008,"1 urban background, 1 suburban background, 3 urban traffic, and 0 traffic suburban stations",99,"European Environment Agency. AirBase: public air quality database - Air pollution. Available from: http://www.eea.europa.eu/themes/air/airbase, accessed 2 May 2011.",20%,Calculated,18%,82%,0%,0%,0%,0%,0%,0%,0%,100%,
EurHI,San Marino,20,2009,1 station in centre of only city (urban traffic location),97,"Istituto Sicurezza Sociale. Monitoraggio qualità dell'aria, Anno 2009. Dipartimento di sanita pubblica, 2010.",100%,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
AmrHI,Canada,21,2008,"138 stations in 87 agglomerations over 2,000 inhabitants, 74 urban residential and 39 urban commercial and 26 unknown locations",NA,"Ministry of Environment (personal communication, November 2011)) / Environment Canada. Ground-level Ozone and Fine Particulate Matter (PM2.5) Concentrations at Monitoring Stations, Canada, 2008",80%,Calculated,38%,45%,17%,0%,0%,0%,0%,0%,0%,100%,
