Entity,Code,Year,PM₁₀ (Index),PM₂.₅ (Index),Non-methane volatile organic compounds (Index),Nitrogen oxides (Index),Ammonia (Index),Sulphur dioxide (Index)
United Kingdom,GBR,1970,100,100,100,100,,100
United Kingdom,GBR,1971,92.64,89.16,100.42,99.05,,94.61
United Kingdom,GBR,1972,82.63,79.12,97.92,98.1,,90.76
United Kingdom,GBR,1973,86.54,80.72,103.75,103.17,,93.22
United Kingdom,GBR,1974,78.72,75.1,100,95.87,,85.52
United Kingdom,GBR,1975,74.49,66.67,97.92,92.38,,81.2
United Kingdom,GBR,1976,72.77,65.46,100.42,93.65,,78.58
United Kingdom,GBR,1977,72.14,64.86,103.75,93.97,,78.43
United Kingdom,GBR,1978,70.58,62.45,105.42,95.24,,79.2
United Kingdom,GBR,1979,71.21,63.86,108.33,98.41,,84.13
United Kingdom,GBR,1980,66.2,57.03,105.42,92.7,100,74.42
United Kingdom,GBR,1981,63.69,54.62,103.33,88.57,99.38,67.64
United Kingdom,GBR,1982,62.44,53.82,104.17,87.94,102.49,64.71
United Kingdom,GBR,1983,61.82,52.01,104.58,86.67,100.61,59.78
United Kingdom,GBR,1984,55.4,47.19,97.92,85.08,101.21,57.47
United Kingdom,GBR,1985,61.19,51.81,105,87.94,99.1,57.78
United Kingdom,GBR,1986,62.75,53.82,109.17,90.79,99.4,60.09
United Kingdom,GBR,1987,61.97,50.2,111.67,92.7,100.91,59.78
United Kingdom,GBR,1988,60.25,48.8,114.58,95.24,97.9,58.86
United Kingdom,GBR,1989,61.03,48.59,116.25,96.83,98.77,57.16
United Kingdom,GBR,1990,58.84,47.59,119.17,96.83,102.8,58.09
United Kingdom,GBR,1991,58.22,47.39,116.67,93.65,99.7,55.62
United Kingdom,GBR,1992,54.62,45.38,112.92,91.75,95.15,54.55
United Kingdom,GBR,1993,50.86,42.37,106.67,86.35,98.09,49.31
United Kingdom,GBR,1994,48.2,40.56,101.25,83.17,101.95,42.22
United Kingdom,GBR,1995,44.44,36.95,94.17,79.05,97.77,37.75
United Kingdom,GBR,1996,44.29,36.55,91.25,75.56,102.93,32.36
